City,Rainfall(mm),AQI,Temperature(C),Humidity(%),WeeklyIncome(₹),OrdersPerDay,OnlineHours,IncomeLoss(₹)
Chennai,68,84,37,62,4610,20,7,943
Salem,87,66,29,53,4045,22,8,836
Bengaluru,0,263,26,83,5386,26,8,282
Trichy,26,62,26,87,4045,25,8,207
Tiruppur,146,284,32,75,4957,12,5,2276
Trichy,52,309,34,45,4307,25,9,959
Trichy,133,254,35,77,3932,14,6,1869
Trichy,168,174,29,66,4245,14,5,1984
Trichy,99,212,24,57,4500,17,7,1492
Chennai,90,157,36,79,5013,17,7,1271
Trichy,195,159,39,56,4057,11,4,2491
Trichy,11,45,28,74,4097,25,9,118
Madurai,111,255,24,51,4432,15,7,1779
Coimbatore,21,261,24,95,4548,27,9,509
Tiruppur,7,205,32,75,4133,30,10,53
Salem,6,123,37,49,4434,27,10,0
Coimbatore,211,69,36,79,4313,6,4,2732
Tiruppur,94,104,34,78,4222,18,8,1192
Tiruppur,15,109,38,87,4121,27,10,108
Madurai,109,54,29,78,4132,20,8,1281
Bengaluru,87,296,27,79,5743,20,6,1504
Salem,23,179,31,58,4607,26,9,340
Chennai,128,81,30,77,4704,14,4,1616
Hyderabad,21,202,26,66,4867,28,9,330
Bengaluru,201,287,39,91,5407,6,3,3172
Trichy,87,242,31,77,4847,19,8,1163
Trichy,87,102,25,68,4782,21,8,985
Salem,91,150,38,66,4530,18,6,1258
Chennai,215,252,36,77,4771,6,4,3111
Salem,17,191,27,61,4214,29,10,0
Tiruppur,13,238,33,51,4576,29,10,176
Hyderabad,165,268,32,73,4876,14,5,2238
Trichy,128,180,34,48,4086,14,4,1858
Trichy,187,107,39,79,3943,11,5,2202
Salem,94,153,25,74,4216,21,8,1225
Chennai,82,237,31,89,5409,18,7,1310
Bengaluru,106,223,37,47,5621,16,6,1523
Hyderabad,11,177,29,93,5054,29,9,27
Trichy,119,154,33,78,3994,15,6,1739
Madurai,206,139,26,85,4761,9,4,2685
Coimbatore,15,261,37,78,4365,26,9,305
Hyderabad,54,163,25,60,5231,22,7,779
Chennai,2,251,34,80,4530,26,8,336
Madurai,47,195,27,63,4487,24,8,734
Chennai,191,225,28,74,4730,10,3,2714
Tiruppur,100,136,36,49,5025,19,6,1198
Bengaluru,121,94,28,52,5471,16,7,1321
Trichy,133,220,33,68,4118,16,5,1703
Coimbatore,151,206,26,94,4684,12,5,2077
Tiruppur,32,283,28,45,4266,23,8,598
Coimbatore,37,152,38,72,4959,24,10,512
Chennai,14,117,27,74,5212,25,8,17
Salem,112,145,31,60,4503,18,7,1294
Coimbatore,172,44,33,65,4685,12,5,2058
Chennai,14,73,27,60,4794,26,8,192
Chennai,200,318,32,71,5499,10,4,2900
Bengaluru,216,253,25,83,5296,7,3,2875
Salem,129,41,33,50,4087,15,7,1598
Trichy,220,93,30,70,4550,4,3,2870
Salem,109,286,33,86,4611,20,8,1452
Tiruppur,6,173,24,93,5035,27,9,121
Bengaluru,25,109,27,62,5124,24,9,152
Madurai,92,106,32,71,3894,21,8,1083
Coimbatore,170,313,27,66,4293,11,4,2526
Chennai,23,97,27,94,4951,27,10,16
Bengaluru,99,40,37,58,5245,17,6,1148
Coimbatore,44,314,32,71,4172,25,9,663
Chennai,31,241,32,81,4554,27,10,366
Madurai,79,320,34,46,4481,20,7,1342
Hyderabad,109,148,39,47,4732,16,5,1400
Chennai,140,153,26,73,5092,13,5,2027
Tiruppur,182,313,35,49,5067,9,3,2836
Chennai,136,199,24,58,5191,13,4,2064
Coimbatore,182,65,37,91,4904,11,5,2272
Salem,169,133,36,72,4373,10,3,2115
Hyderabad,38,109,33,68,4822,26,10,251
Madurai,105,134,26,45,4711,20,8,1106
Coimbatore,116,166,39,46,4380,17,6,1541
Madurai,213,315,34,57,3973,5,3,3110
Coimbatore,125,230,37,87,4181,14,6,1752
Hyderabad,146,236,28,77,4995,12,5,2274
Hyderabad,160,308,39,66,4622,14,6,2364
Madurai,86,286,29,60,3904,18,8,1559
Bengaluru,94,60,28,54,5826,18,8,1191
Bengaluru,197,167,29,94,5497,11,5,2332
Trichy,39,181,35,88,4417,26,8,303
Tiruppur,191,281,36,65,4148,10,4,2610
Salem,113,277,24,52,3738,17,6,1712
Hyderabad,179,320,39,91,5087,13,6,2556
Hyderabad,8,134,28,86,4759,27,10,112
Tiruppur,163,47,35,86,5051,11,4,2106
Madurai,172,76,35,58,4614,9,3,2391
Bengaluru,132,45,39,77,5430,16,7,1656
Coimbatore,204,136,29,67,4234,8,4,2701
Trichy,29,242,26,67,4421,27,9,356
Madurai,22,101,35,56,3994,24,8,299
Trichy,186,263,38,90,3941,11,3,2482
Madurai,129,241,36,91,4140,16,6,1691
Salem,155,134,27,46,4155,14,6,1927
Chennai,211,144,33,65,5219,7,3,2779
Trichy,92,155,25,84,4382,18,6,1250
Hyderabad,179,283,31,64,5232,10,3,2710
Trichy,201,209,39,85,4357,9,4,2779
Madurai,20,241,38,51,4728,28,10,322
Bengaluru,59,69,29,89,5426,25,9,461
Hyderabad,198,188,29,78,4543,10,5,2477
Tiruppur,140,72,35,74,4810,13,4,1806
Bengaluru,35,195,37,54,5164,26,9,383
Hyderabad,75,137,25,93,5188,21,7,973
Chennai,46,121,34,84,5181,23,8,390
Coimbatore,62,61,35,58,4085,21,8,788
Bengaluru,24,308,25,83,5672,25,10,510
Tiruppur,39,161,33,55,4561,24,10,527
Tiruppur,5,289,33,72,4542,30,10,284
Bengaluru,49,157,33,92,5688,25,10,430
Hyderabad,40,311,29,59,4810,22,7,911
Bengaluru,179,48,39,91,5784,12,4,2279
Hyderabad,202,261,26,95,4574,8,4,2875
Madurai,60,117,30,57,3809,20,7,901
Madurai,124,76,29,74,4130,18,6,1450
Madurai,24,270,24,54,4071,26,8,552
Trichy,217,194,27,89,4406,8,3,2899
Coimbatore,59,223,32,62,4587,25,8,620
Chennai,164,217,35,73,4958,13,4,2147
Hyderabad,45,210,30,91,4763,23,9,820
Hyderabad,188,259,35,69,4464,10,5,2684
Tiruppur,136,261,24,90,5043,14,5,1980
Hyderabad,39,216,38,90,4926,25,10,395
Trichy,86,272,25,60,3923,20,6,1295
Bengaluru,125,133,29,60,5543,15,5,1607
Tiruppur,140,282,25,69,4676,15,6,2050
Bengaluru,19,158,38,86,5309,25,9,203
Tiruppur,71,274,39,84,4141,19,6,1171
Trichy,196,259,31,51,4430,10,3,2752
Bengaluru,49,153,24,89,5982,22,7,774
Trichy,137,294,33,85,4854,14,5,2139
Hyderabad,132,149,30,47,4979,17,5,1597
Madurai,220,280,33,53,4351,7,3,3024
Hyderabad,39,79,35,85,4538,25,8,386
Chennai,182,50,35,84,5276,12,4,2221
Salem,167,94,29,85,3900,12,6,2111
Hyderabad,113,198,30,82,4638,17,6,1688
Madurai,160,288,35,77,4398,12,4,2455
Trichy,134,73,28,54,4555,16,7,1442
Salem,100,292,30,58,4036,16,5,1645
Bengaluru,157,105,32,60,5445,12,6,2094
Tiruppur,96,137,24,49,4856,21,9,1028
Bengaluru,63,67,39,66,5345,21,9,774
Tiruppur,143,73,33,86,4893,15,7,1636
Tiruppur,44,207,31,67,4648,26,10,380
Bengaluru,194,263,34,94,5469,7,3,2972
Chennai,159,69,36,49,4667,11,3,2063
Hyderabad,65,163,30,93,4552,23,7,624
Coimbatore,129,151,39,66,4565,15,7,1618
Trichy,189,285,31,52,4332,8,3,2699
Salem,216,77,28,73,4298,9,3,2742
